"nm0000001","Fred Astaire"
"nm0000002","Lauren Bacall"
"nm0000003","Brigitte Bardot"
"nm0000004","John Belushi"
"nm0000005","Ingmar Bergman"
"nm0000006","Ingrid Bergman"
"nm0000007","Humphrey Bogart"
"nm0000008","Marlon Brando"
"nm0000009","Richard Burton"
"nm0000010","James Cagney"
"nm0000011","Gary Cooper"
"nm0000012","Bette Davis"
"nm0000013","Doris Day"
"nm0000014","Olivia de Havilland"
"nm0000015","James Dean"
"nm0000016","Georges Delerue"
"nm0000017","Marlene Dietrich"
"nm0000018","Kirk Douglas"
"nm0000019","Federico Fellini"
"nm0000020","Henry Fonda"
"nm0000021","Joan Fontaine"
"nm0000022","Clark Gable"
"nm0000023","Judy Garland"
"nm0000024","John Gielgud"
"nm0000025","Jerry Goldsmith"
"nm0000026","Cary Grant"
"nm0000027","Alec Guinness"
"nm0000028","Rita Hayworth"
"nm0000029","Margaux Hemingway"
"nm0000030","Audrey Hepburn"
"nm0000031","Katharine Hepburn"
"nm0000032","Charlton Heston"
"nm0000033","Alfred Hitchcock"
"nm0000034","William Holden"
"nm0000035","James Horner"
"nm0000036","Buster Keaton"
"nm0000037","Gene Kelly"
"nm0000038","Grace Kelly"
"nm0000039","Deborah Kerr"
"nm0000040","Stanley Kubrick"
"nm0000041","Akira Kurosawa"
"nm0000042","Alan Ladd"
"nm0000043","Veronica Lake"
"nm0000044","Burt Lancaster"
"nm0000045","Bruce Lee"
"nm0000046","Vivien Leigh"
"nm0000047","Sophia Loren"
"nm0000048","Peter Lorre"
"nm0000049","Henry Mancini"
"nm0000050","Groucho Marx"
"nm0000051","James Mason"
"nm0000052","Marcello Mastroianni"
"nm0000053","Robert Mitchum"
"nm0000054","Marilyn Monroe"
"nm0000055","Alfred Newman"
"nm0000056","Paul Newman"
"nm0000057","David Niven"
"nm0000058","Maureen O'Hara"
"nm0000059","Laurence Olivier"
"nm0000060","Gregory Peck"
"nm0000061","Tyrone Power"
"nm0000062","Elvis Presley"
"nm0000063","Anthony Quinn"
"nm0000064","Edward G. Robinson"
"nm0000065","Nino Rota"
"nm0000066","Jane Russell"
"nm0000067","Miklós Rózsa"
"nm0000068","Randolph Scott"
"nm0000069","Frank Sinatra"
"nm0000070","Max Steiner"
"nm0000071","James Stewart"
"nm0000072","Elizabeth Taylor"
"nm0000073","Shirley Temple"
"nm0000074","Gene Tierney"
"nm0000075","Spencer Tracy"
"nm0000076","François Truffaut"
"nm0000077","Franz Waxman"
"nm0000078","John Wayne"
"nm0000079","Raquel Welch"
"nm0000080","Orson Welles"
"nm0000081","Natalie Wood"
"nm0000082","Victor Young"
"nm0000083","Alan Miller"
"nm0000084","Li Gong"
"nm0000085","Henner Hofmann"
"nm0000086","Louis de Funès"
"nm0000087","Elena Koreneva"
"nm0000088","Aleksey Korenev"
"nm0000089","Richard Paul"
"nm0000090","Armin Mueller-Stahl"
"nm0000091","Gérard Pirès"
"nm0000092","John Cleese"
"nm0000093","Brad Pitt"
"nm0000094","J. Reifel"
"nm0000095","Woody Allen"
"nm0000096","Gillian Anderson"
"nm0000097","Pamela Anderson"
"nm0000098","Jennifer Aniston"
"nm0000099","Patricia Arquette"
"nm0000100","Rowan Atkinson"
"nm0000101","Dan Aykroyd"
