"tt0000009","Miss Jerry"
"tt0000147","The Corbett-Fitzsimmons Fight"
"tt0000335","Soldiers of the Cross"
"tt0000502","Bohemios"
"tt0000574","The Story of the Kelly Gang"
"tt0000615","Robbery Under Arms"
"tt0000630","Hamlet"
"tt0000675","Don Quijote"
"tt0000676","Don Álvaro o la fuerza del sino"
"tt0000679","The Fairylogue and Radio-Plays"
"tt0000739","El pastorcito de Torrente"
"tt0000793","Andreas Hofer"
"tt0000812","El blocao Velarde"
"tt0000814","La bocana de Mar Chica"
"tt0000838","A Cultura do Cacau"
"tt0000842","De Garraf a Barcelona"
"tt0000846","Un día en Xochimilco"
"tt0000850","Los dos hermanos"
"tt0000859","Fabricación del corcho en Sant Feliu de Guixols"
"tt0000862","Faldgruben"
"tt0000867","Fiesta de toros"
"tt0000868","Fiestas de Santa Lucía - Belenes"
"tt0000869","Fiestas en La Garriga"
"tt0000879","Gira política de Madero y Pino Suárez"
"tt0000886","Hamlet
"tt0000891","Cycle Rider and the Witch"
"tt0000941","Locura de amor"
"tt0000947","Lægens offer"
"tt0000959","Melilla y el Gurugu"
"tt0000984","Niños en la alameda"
"tt0000992","De onde Veje"
"tt0001007","La primera y segunda casetas"
"tt0001010","Protección de un convoy de víveres en el puente de camellos"
"tt0001028","Salome Mad"
"tt0001038","Sherlock Holmes VI"
"tt0001043","Smith's Knockabout Theatre"
"tt0001045","Le songe d'une nuit d'été"
"tt0001049","Gøngehøvdingen"
"tt0001051","El sueño milagroso"
"tt0001059","O Terremoto de Benavente"
"tt0001068","Toma caseta Z"
"tt0001069","Toma del Gurugu"
"tt0001080","Two of the Boys"
"tt0001081","La vida en el campamento"
"tt0001082","Viernes de dolores"
"tt0001101","Abraham Lincoln's Clemency"
"tt0001109","L'aluminite"
"tt0001112","Amleto"
"tt0001113","Amor gitano"
"tt0001115","Ansigttyven I"
"tt0001116","Ansigttyven II"
"tt0001122","The Red Inn"
"tt0001141","The Butterfly"
"tt0001142","By Order of Napoleon"
"tt0001147","O Centenário da Guerra Peninsular"
"tt0001159","The Connecticut Yankee"
"tt0001163","Corrida da Rampa"
"tt0001175","Camille"
"tt0001179","Desfile histórico del centenario"
"tt0001184","Don Juan de Serrallonga"
"tt0001186","Dorothy and the Scarecrow in Oz"
"tt0001203","Excursión al Gombreny"
"tt0001230","Gentleman Joe"
"tt0001240","Hamlet"
"tt0001247","His Brother's Wife"
"tt0001258","The White Slave Trade"
"tt0001277","Kapergasten"
"tt0001285","The Life of Moses"
"tt0001338","A Night in May"
"tt0001341","Jarní sen starého mládence"
"tt0001348","Orientalsk dans"
"tt0001353","Paganini"
"tt0001358","Peder Tordenskjold"
"tt0001359","A Pesca do Bacalhau"
"tt0001364","El pobre Valbuena"
"tt0001366","Un portero modelo"
"tt0001370","Rainha Depois de Morta Inês de Castro"
"tt0001379","A Record Hustle Through Foggy London"
"tt0001381","En rekrut fra 64"
"tt0001382","Revolução de 5 de Outubro"
"tt0001386","Le roi des parfums"
"tt0001422","Trail to the West"
"tt0001440","Valdemar Sejr"
"tt0001465","As Últimas Inundações do Tejo em Santarém"
"tt0001475","Amor fatal"
"tt0001482","As in a Looking Glass"
"tt0001495","A Balkan Episode"
"tt0001498","The Battle of Trafalgar"
"tt0001515","The Brand"
"tt0001521","En bryllupsaften"
"tt0001530","The Bushranger's Bride"
"tt0001531","Captain Starlight
"tt0001555","Cortejo Cívico"
"tt0001569","The Daddy's Dream"
"tt0001573","De Gerona a Olot en ferrocarril (De Olot a Gerona en ferrocarril)"
"tt0001580","Le devoir et l'honneur"
"tt0001586","A Dog's Tale"
"tt0001587","Don Pedro el Cruel"
"tt0001592","Ekspeditricen"
"tt0001602","El fantasma del castillo"
"tt0001603","Den farlige leg"
"tt0001604","The Fatal Wedding"
"tt0001610","Fiesta Mayor de Manresa"
"tt0001611","Fiestas del Sitio en Bilbao"
"tt0001612","Fiestas en La Bisbal"
"tt0001628","The Four Poster Pest"
"tt0001630","Der fremde Vogel"
"tt0001648","The Golden West"
"tt0001692","The Great Moment"
"tt0001706","The Infant at Snakeville"
"tt0001711","Jahreszeiten des Lebens"
"tt0001712","Jane Shore"
"tt0001716","Julius Caesar's Sandals"
"tt0001731","The Convict Hero"
"tt0001756","Lucha por la herencia"
"tt0001764","Madero al sur del país"
"tt0001778","Menneskedyret"
"tt0001780","Midsummer Tide"
"tt0001785","The Miner's Curse"
"tt0001790","Les Misérables
"tt0001803","The Mystery of a Hansom Cab"
"tt0001812","Oedipus Rex"
"tt0001826","Par habitude"
"tt0001845","Pulgarcito"
"tt0001889","Skæbnebæltet"
"tt0001892","Den sorte drøm"
"tt0001895","Sport Hípico"
"tt0001911","Nell Gwynne"
"tt0001914","Regina"
"tt0001920","Temblor de 1911 en México"
"tt0001964","The Traitress"
"tt0001965","Vicio y virtud"
"tt0001992","Zwei Frauen"
"tt0001993","L'électrocuté"
"tt0001998","The Adventures of Lieutenant Petrosino"
"tt0001999","Agaton och Fina"
"tt0002001","The Alaska-Siberian Expedition"
"tt0002019","Amor de bestia"
"tt0002022","Anfisa"
"tt0002026","Anny - Story of a Prostitute"
"tt0002031","As You Like It"
"tt0002039","Atop of the World in Motion"
"tt0002040","Las aventuras del Pollo Palomeque"
"tt0002044","Le bagnard"
